order_id,order_date,city,region,customer_age,gender,membership_tier,income_bracket,device_type,payment_method,items_count,basket_value_usd,coupon_discount_pct,delivery_distance_km,delivery_time_min,on_time,rider_rating,customer_satisfaction,ambient_temp_c,tip_amount_usd,category_mix,promo_type
1001,2025-08-05,Bengaluru,South,45,Female,Bronze,Mid,Android,UPI,4,15.14,0,3.51,41.5,Yes,3.7,4,30.9,1.05,Mixed,None
1002,2025-08-25,Ahmedabad,West,31,Male,Silver,Mid,Android,COD,8,22.87,0,5.34,47.1,No,4.2,4,35.6,0,Pantry,None
1003,2025-07-13,Chennai,South,28,Male,Silver,Low,Android,Card,4,17.19,0,8.11,63.3,No,4.8,4,21.8,0.92,Mixed,None
1004,2025-07-12,Hyderabad,South,47,Male,Silver,High,Android,UPI,5,27.19,25,3.71,49.5,No,3.8,4,33.3,0.16,Mixed,BOGO
1005,2025-08-06,Mumbai,West,20,Other,Silver,Low,Android,UPI,3,52.3,0,9.36,85.5,No,4.9,5,27.1,0.27,Mixed,None
1006,2025-07-10,Mumbai,West,18,Male,Platinum,Mid,Android,COD,8,89.85,0,8.47,78.7,No,4.3,5,27.1,0.31,Fresh,FreeDelivery
1007,2025-08-29,Mumbai,West,36,Female,Silver,Low,Android,Card,6,23.32,50,0.07,20.8,Yes,3.7,4,29,1.09,Mixed,Flat50
1008,2025-08-25,Kolkata,East,28,Female,Bronze,Mid,Android,Card,11,47.09,0,11.56,101.8,No,3.4,5,24.3,0.63,Pantry,None
1009,2025-07-09,Hyderabad,South,24,Male,Gold,Low,Android,COD,7,17.54,0,4.38,41.9,Yes,3.5,5,31.8,0.05,Pantry,None
1010,2025-08-21,Chennai,South,38,Female,Bronze,Low,iOS,COD,10,32.56,0,8.05,73,No,4,3,30.8,0.02,Pantry,None
1011,2025-07-07,Mumbai,West,34,Male,Silver,Low,Android,UPI,9,26.66,22,2.88,46.3,No,4.2,5,31.1,0.99,Mixed,BOGO
1012,2025-07-02,Ahmedabad,West,27,Female,Bronze,Mid,iOS,UPI,6,21.52,0,5.54,63.8,No,5,4,33.5,0.03,Mixed,None
1013,2025-08-23,Pune,West,22,Female,Bronze,Mid,iOS,UPI,5,22.04,27,3.07,36.2,Yes,4.7,5,36.1,0.85,Mixed,BOGO
1014,2025-08-25,Delhi,North,39,Male,Platinum,Mid,Android,Card,5,26.5,0,3.05,36.9,Yes,3.9,5,28.5,0.26,Pantry,None
1015,2025-08-29,Delhi,North,37,Male,Gold,High,iOS,UPI,10,19.95,32,3.03,35.2,Yes,4.5,3,31.9,0.17,Pantry,BOGO
1016,2025-07-23,Delhi,North,31,Female,Silver,Low,Web,Card,1,27.42,0,2.11,49.2,No,5,3,31.2,0.32,Mixed,None
1017,2025-08-08,Delhi,North,47,Male,Bronze,Low,Android,Card,7,23.27,0,13.22,132.4,No,5,5,31.5,0.03,Fresh,None
1018,2025-08-09,Hyderabad,South,23,Male,Bronze,High,Android,COD,6,28.37,0,3.36,40.9,Yes,4.1,4,31.6,0.04,Fresh,FreeDelivery
1019,2025-08-08,Bengaluru,South,20,Male,Bronze,Low,iOS,UPI,5,38.02,50,3.1,56,No,4.8,3,36.4,0.09,Fresh,Flat50
1020,2025-07-21,Delhi,North,26,Female,Bronze,High,iOS,COD,6,22.09,0,8.42,85.7,No,5,5,28.2,0.22,Fresh,None
